8	6	12.2	5	3	
25.2	25.0	89.8	78.5	49.2	87.2
24.7	44.3	56.1	73.0	82.8	28.4
95.6	60.4	49.0	41.7	55.9	59.9
42.1	35.1	51.8	55.3	31.5	32.5
81.8	83.1	93.9	47.8	78.4	57.8
94.1	33.0	68.9	28.3	72.1	59.4
67.2	39.4	27.8	61.9	67.3	98.3
32.6	47.6	83.5	63.9	76.1	99.7
161.8	157.5	171.5	114.0	73.1	75.9
153.3	171.8	106.4	154.3	120.6	56.4
74.3	67.5	118.8	122.3	102.3	66.9
133.5	89.8	148.0	128.9	128.5	124.0
79.5	73.1	155.0	102.7	116.0	87.6
57.5	170.9	162.0	130.1	100.6	160.2
56.7	90.7	145.5	164.4	170.1	117.9
185.5	79.3	178.1	58.7	68.9	63.4
